rank,name,platform,year,genre,publisher,na_sales,eu_sales,jp_sales,other_sales,global_sales
1534,guitar hero: aerosmith,wii,2008.0,misc,activision,1.04,0.14,0.0,0.1,1.29
1535,mystery case files: millionheir,ds,2008.0,adventure,nintendo,0.76,0.4,0.0,0.12,1.29
1536,valkyria chronicles,ps3,2008.0,role-playing,sega,0.71,0.2,0.24,0.13,1.29
1537,midnight club 3: dub edition (america weekly sales),ps2,2005.0,racing,take-two interactive,1.22,0.05,0.0,0.01,1.29
1538,champions of norrath,ps2,2004.0,role-playing,sony online entertainment,0.63,0.49,0.0,0.16,1.28
1539,watch dogs,x360,2014.0,action,ubisoft,0.72,0.45,0.01,0.11,1.28
1540,imagine: wedding designer,ds,2008.0,simulation,ubisoft,0.55,0.59,0.0,0.14,1.28
1541,metal gear solid v: ground zeroes,ps4,2014.0,action,konami digital entertainment,0.45,0.46,0.17,0.2,1.28
1542,yakuman,gb,1989.0,misc,nintendo,0.0,0.0,1.28,0.0,1.28
1543,assassin's creed syndicate,xone,2015.0,action,ubisoft,0.61,0.56,0.0,0.11,1.28
1544,army men 3d,ps,1999.0,action,3do,1.1,0.14,0.0,0.04,1.28
1545,wwe '13,x360,2012.0,action,thq,0.72,0.45,0.0,0.11,1.28
1546,twisted metal 4,ps,1999.0,racing,989 studios,1.07,0.16,0.0,0.04,1.28
1547,manhunt,ps2,2003.0,action,take-two interactive,0.63,0.49,0.0,0.16,1.28
1548,kid icarus: uprising,3ds,2012.0,action,nintendo,0.48,0.35,0.36,0.07,1.28
1549,silent hill 2,ps2,2001.0,action,konami digital entertainment,0.62,0.49,0.0,0.16,1.28
1550,tomb raider: underworld,ps3,2008.0,action,eidos interactive,0.45,0.56,0.05,0.22,1.27
1551,castlevania: symphony of the night,ps,1997.0,platform,konami digital entertainment,0.58,0.4,0.21,0.08,1.27
1552,the sims 2: nightlife,pc,2005.0,simulation,electronic arts,1.22,0.05,0.0,0.0,1.27
1553,lego batman: the videogame,ps2,2008.0,action,warner bros. interactive entertainment,0.72,0.03,0.0,0.52,1.27
1554,road rash,ps,1995.0,racing,electronic arts,0.71,0.48,0.0,0.08,1.27
1555,pokemon mystery dungeon: gates to infinity,3ds,2012.0,role-playing,nintendo,0.44,0.3,0.47,0.06,1.27
1556,atlantis,2600,1981.0,shooter,imagic,1.18,0.08,0.0,0.01,1.27
1557,nba 2k9,x360,2008.0,sports,take-two interactive,1.0,0.16,0.0,0.11,1.27
1558,wwe '12,x360,2011.0,fighting,thq,0.74,0.4,0.0,0.12,1.27
1559,tony hawk's underground,xb,2003.0,sports,activision,0.85,0.37,0.0,0.05,1.27
1560,hogan's alley,nes,1984.0,shooter,nintendo,0.68,0.16,0.41,0.02,1.27
1561,the elder scrolls online,xone,2015.0,role-playing,bethesda softworks,0.77,0.38,0.0,0.12,1.27
1562,jillian michaels' fitness ultimatum 2009,wii,2008.0,sports,deep silver,0.96,0.2,0.0,0.11,1.27
1563,.hack//infection part 1,ps2,2002.0,role-playing,atari,0.49,0.38,0.26,0.13,1.27
1564,rockstar games presents table tennis,wii,2007.0,sports,take-two interactive,0.39,0.73,0.0,0.15,1.27
1565,sonic adventure dx: director's cut,gc,2003.0,platform,sega,0.87,0.3,0.06,0.03,1.27
1566,jet li: rise to honor,ps2,2004.0,action,sony computer entertainment,0.62,0.48,0.0,0.16,1.27
1567,battle arena toshinden,ps,1994.0,fighting,sony computer entertainment,0.39,0.26,0.53,0.08,1.27
1568,yokai watch 3,3ds,2016.0,action,level 5,0.0,0.0,1.27,0.0,1.27
1569,kung fu panda,ds,2008.0,action,activision,0.56,0.57,0.0,0.14,1.26
1570,tamagotchi connection: corner shop,ds,2005.0,simulation,atari,0.1,0.02,1.12,0.01,1.26
1571,football manager 2011,pc,2010.0,sports,sega,0.0,1.01,0.0,0.25,1.26
1572,devil dice,ps,1998.0,puzzle,thq,0.05,0.03,1.1,0.08,1.26
1573,final fantasy iv,ds,2007.0,simulation,square enix,0.54,0.05,0.62,0.05,1.26
1574,hyrule warriors,wiiu,2014.0,action,nintendo,0.61,0.42,0.13,0.1,1.26
1575,need for speed carbon,ps3,2006.0,racing,electronic arts,0.49,0.52,0.03,0.21,1.26
1576,championship manager 03/04,pc,2003.0,sports,eidos interactive,0.0,1.15,0.0,0.11,1.26
1577,brian lara cricket,ps,1998.0,sports,codemasters,0.02,1.13,0.01,0.1,1.26
1578,ratatouille,ds,2007.0,action,thq,0.5,0.62,0.0,0.14,1.26
1579,wheel of fortune,ps,1998.0,misc,hasbro interactive,0.99,0.22,0.0,0.04,1.26
1580,lego the lord of the rings,x360,2012.0,action,warner bros. interactive entertainment,0.63,0.51,0.0,0.11,1.26
1581,winter sports: the ultimate challenge,wii,2007.0,sports,rtl,0.45,0.68,0.0,0.12,1.26
1582,socom: u.s. navy seals confrontation,ps3,2008.0,shooter,sony computer entertainment,0.94,0.17,0.02,0.13,1.25
1583,nba live 2001,ps,2000.0,sports,electronic arts,0.7,0.47,0.0,0.08,1.25
1584,star wars: the force unleashed,ps2,2008.0,action,lucasarts,0.49,0.0,0.01,0.75,1.25
1585,combat,2600,nan,action,atari,1.17,0.07,0.0,0.01,1.25
1586,tom clancy's rainbow six: vegas,ps3,2007.0,shooter,ubisoft,0.47,0.53,0.03,0.22,1.25
1587,dragon ball: daimaou fukkatsu,nes,1988.0,role-playing,namco bandai games,0.0,0.0,1.25,0.0,1.25
1588,gegege no kitarou 2: youkai gundan no chousen,nes,1987.0,role-playing,namco bandai games,0.0,0.0,1.25,0.0,1.25
1589,reel fishing,ps,1996.0,sports,natsume,0.99,0.13,0.1,0.04,1.25
1590,injustice: gods among us,ps3,2013.0,fighting,warner bros. interactive entertainment,0.48,0.53,0.01,0.23,1.25
1591,pokemon xd: gale of darkness,gc,2005.0,role-playing,nintendo,0.71,0.19,0.31,0.03,1.25
1592,black,ps2,2006.0,shooter,electronic arts,1.01,0.04,0.03,0.16,1.25
1593,rollercoaster tycoon 2,pc,2002.0,strategy,atari,1.19,0.05,0.0,0.0,1.25
1594,lara croft tomb raider: the angel of darkness,ps2,2003.0,action,eidos interactive,0.61,0.48,0.0,0.16,1.25
1595,tom clancy's splinter cell: pandora tomorrow,ps2,2004.0,action,ubisoft,0.52,0.56,0.0,0.17,1.25
1596,road rash 3d,ps,1998.0,racing,electronic arts,1.05,0.16,0.0,0.04,1.25
1597,ratchet: deadlocked,ps2,2005.0,shooter,sony computer entertainment,0.85,0.03,0.22,0.14,1.24
1598,baldur's gate: dark alliance,ps2,2001.0,role-playing,virgin interactive,0.61,0.48,0.0,0.16,1.24
1599,transformers: autobots / decepticons,ds,2007.0,action,activision,1.12,0.03,0.0,0.09,1.24
1600,tales of xillia,ps3,2011.0,role-playing,namco bandai games,0.29,0.19,0.67,0.09,1.24
1601,diddy kong racing ds,ds,2007.0,racing,nintendo,1.1,0.04,0.0,0.1,1.24
1602,[prototype],ps3,2009.0,action,activision,0.65,0.41,0.0,0.19,1.24
1603,assassin's creed: bloodlines,psp,2009.0,action,ubisoft,0.43,0.48,0.05,0.28,1.24
1604,oddworld: abe's oddysee,ps,1997.0,platform,gt interactive,0.75,0.44,0.0,0.06,1.24
1605,the witcher 3: wild hunt,xone,2015.0,role-playing,namco bandai games,0.66,0.47,0.0,0.11,1.24
1606,ridge racer v,ps2,2000.0,action,namco bandai games,0.24,0.19,0.75,0.06,1.24
1607,wwe smackdown vs. raw 2009,ps2,2008.0,fighting,thq,0.69,0.0,0.0,0.55,1.24
1608,tetris 2 (all region sales),gb,1992.0,puzzle,nintendo,0.56,0.22,0.43,0.03,1.24
1609,star wars episode iii: revenge of the sith,xb,2005.0,action,activision,0.82,0.38,0.0,0.04,1.24
1610,ben 10: protector of earth,wii,2007.0,action,d3publisher,0.55,0.55,0.0,0.13,1.23
1611,frogger: the great quest,ps2,2001.0,platform,konami digital entertainment,0.6,0.47,0.0,0.16,1.23
1612,2010 fifa world cup south africa,ps3,2010.0,sports,electronic arts,0.3,0.64,0.07,0.22,1.23
1613,ninja gaiden,xb,2004.0,action,microsoft game studios,0.92,0.2,0.07,0.04,1.23
1614,crash bandicoot: the wrath of cortex,xb,2002.0,platform,universal interactive,0.59,0.57,0.0,0.07,1.23
1615,driv3r,ps2,2004.0,racing,atari,0.6,0.47,0.0,0.16,1.23
1616,disney's tarzan / disney's aladdin in nasira's revenge / disney's the emperor's new groove action game,ps,2003.0,misc,sony computer entertainment,0.69,0.47,0.0,0.08,1.23
1617,farming simulator 2015,pc,2014.0,simulation,focus home interactive,0.08,1.02,0.0,0.13,1.23
1618,guitar hero: aerosmith,x360,2008.0,misc,activision,1.0,0.14,0.0,0.1,1.23
1619,medal of honor: airborne,ps3,2007.0,shooter,electronic arts,0.25,0.7,0.03,0.25,1.23
1620,kirby tilt 'n' tumble,gb,2000.0,puzzle,nintendo,0.29,0.17,0.75,0.02,1.23
1621,spongebob squarepants: battle for bikini bottom,gba,2003.0,platform,thq,0.88,0.33,0.0,0.02,1.23
1622,vigilante 8,ps,1998.0,racing,activision,0.68,0.47,0.0,0.08,1.23
1623,castlevania,nes,1986.0,platform,konami digital entertainment,0.54,0.06,0.62,0.01,1.23
1624,donkey kong country 2,gba,2004.0,platform,nintendo,0.79,0.27,0.12,0.04,1.23
1625,bayonetta,ps3,2009.0,action,sega,0.44,0.41,0.21,0.17,1.23
1626,"warioware, inc.: mega microgame$",gba,2003.0,puzzle,nintendo,0.4,0.11,0.7,0.02,1.23
1627,star wars: battlefront ii,psp,2005.0,shooter,lucasarts,1.05,0.06,0.01,0.11,1.23
1628,madden nfl 17,ps4,2016.0,sports,electronic arts,0.92,0.08,0.0,0.23,1.23
1629,boom blox,wii,2008.0,puzzle,electronic arts,0.72,0.38,0.0,0.12,1.23
1630,fallout 4,pc,2015.0,role-playing,bethesda softworks,0.5,0.63,0.0,0.1,1.23
1631,the sims 2: castaway,wii,2007.0,simulation,electronic arts,0.45,0.64,0.0,0.14,1.23
1632,lego batman 2: dc super heroes,ps3,2012.0,action,warner bros. interactive entertainment,0.5,0.53,0.0,0.2,1.22
1633,naruto shippuden: ultimate ninja storm 2,ps3,2010.0,fighting,namco bandai games,0.42,0.47,0.15,0.18,1.22
1634,mario power tennis,gc,2004.0,sports,nintendo,0.58,0.16,0.46,0.03,1.22
1635,intelligent qube,ps,1997.0,puzzle,sony computer entertainment,0.13,0.07,1.0,0.02,1.22
1636,game & watch gallery 2,gb,1997.0,misc,nintendo,0.76,0.3,0.12,0.04,1.22
1637,game & watch gallery 3,gb,1999.0,misc,nintendo,0.79,0.31,0.08,0.04,1.22
1638,pac-man,nes,1984.0,puzzle,namco bandai games,0.27,0.08,0.85,0.02,1.22
1639,parfait: chocolat second style,ps2,2006.0,adventure,alchemist,0.59,0.46,0.01,0.15,1.22
1640,f1 2011,ps3,2011.0,racing,codemasters,0.12,0.75,0.11,0.25,1.22
1641,cars,psp,2006.0,racing,thq,0.72,0.29,0.0,0.21,1.22
1642,nba live 99,ps,1997.0,sports,electronic arts,1.13,0.05,0.0,0.03,1.22
1643,chocobo no fushigi dungeon,ps,1997.0,role-playing,squaresoft,0.0,0.0,1.14,0.08,1.22
1644,golden sun: the lost age,gba,2002.0,role-playing,nintendo,0.61,0.27,0.27,0.07,1.22
1645,simcity 2000,ps,1996.0,simulation,maxis,0.68,0.46,0.0,0.08,1.22
1646,max payne,xb,2001.0,shooter,take-two interactive,0.98,0.19,0.0,0.05,1.22
1647,wcw mayhem,ps,1998.0,fighting,electronic arts,0.68,0.46,0.0,0.08,1.22
1648,nba 2k2,ps2,2002.0,sports,sega,0.59,0.46,0.01,0.15,1.22
1649,super street fighter iv: 3d edition,3ds,2011.0,fighting,capcom,0.55,0.44,0.14,0.09,1.22
1650,cars,ps2,2006.0,racing,thq,1.01,0.04,0.0,0.16,1.21
1651,fuzion frenzy,xb,2001.0,misc,microsoft game studios,0.93,0.24,0.0,0.04,1.21
1652,call of duty: finest hour,xb,2004.0,shooter,activision,0.78,0.4,0.0,0.04,1.21
1653,fifa soccer 11,psp,2010.0,sports,electronic arts,0.13,0.7,0.01,0.37,1.21
1654,sly cooper and the thievius raccoonus,ps2,2002.0,platform,sony computer entertainment,1.03,0.14,0.0,0.04,1.21
1655,lego indiana jones 2: the adventure continues,ds,2009.0,action,activision,0.66,0.43,0.0,0.12,1.21
1656,the magical quest starring mickey mouse,snes,1992.0,platform,capcom,0.66,0.17,0.35,0.03,1.21
1657,dragon quest iv: michibikareshi monotachi,ps,2001.0,role-playing,enix corporation,0.0,0.0,1.2,0.01,1.21
1658,star wars episode 1: jedi power battles,ps,1999.0,action,lucasarts,0.66,0.48,0.01,0.06,1.21
1659,dino crisis 2,ps,2000.0,action,virgin interactive,0.34,0.49,0.28,0.1,1.21
1660,need for speed underground,gc,2003.0,racing,electronic arts,0.69,0.48,0.01,0.03,1.21
1661,shrek / shrek 2 2-in-1 gameboy advance video,gba,2007.0,misc,nan,0.87,0.32,0.0,0.02,1.21
1662,test drive 4,ps,1997.0,racing,electronic arts,0.67,0.46,0.0,0.08,1.21
1663,fifa soccer 07,psp,2006.0,sports,electronic arts,0.24,0.65,0.0,0.32,1.21
1664,world soccer winning eleven 9 (jp & others sales),psp,2005.0,sports,konami digital entertainment,0.01,0.88,0.31,0.0,1.2
1665,the lord of the rings: the fellowship of the ring,ps2,2002.0,action,black label games,0.59,0.46,0.0,0.15,1.2
1666,lego star wars iii: the clone wars,ps3,2011.0,action,lucasarts,0.52,0.49,0.0,0.2,1.2
1667,atv offroad fury 3,ps2,2004.0,racing,southpeak games,1.0,0.04,0.0,0.16,1.2
1668,pikmin 2,gc,2004.0,strategy,nintendo,0.48,0.13,0.56,0.03,1.2
1669,just dance 2016,wii,2015.0,misc,ubisoft,0.52,0.59,0.0,0.1,1.2
1670,disney sing it,wii,2008.0,misc,disney interactive studios,0.77,0.31,0.0,0.12,1.2
1671,battlefield: hardline,xone,2015.0,shooter,electronic arts,0.72,0.37,0.01,0.11,1.2
1672,wwe 2k16,ps4,2015.0,sports,take-two interactive,0.41,0.6,0.0,0.19,1.2
1673,dragon ball z: la legende saien,snes,1993.0,fighting,namco bandai games,0.0,0.0,1.2,0.0,1.2
1674,twinbee,nes,1986.0,shooter,konami digital entertainment,0.0,0.0,1.2,0.0,1.2
1675,ganbare goemon! karakuri douchuu,nes,1986.0,platform,konami digital entertainment,0.0,0.0,1.2,0.0,1.2
1676,nfl 2k,dc,1999.0,sports,sega,1.12,0.05,0.0,0.02,1.2
1677,solarstriker,gb,1989.0,shooter,nintendo,0.4,0.39,0.36,0.04,1.2
1678,enter the matrix,xb,2003.0,action,atari,0.72,0.43,0.01,0.04,1.2
1679,nhl 2002,ps2,2001.0,sports,electronic arts,0.59,0.46,0.0,0.15,1.2
1680,mario vs. donkey kong 2: march of the minis,ds,2006.0,puzzle,nintendo,0.74,0.03,0.36,0.07,1.2
1681,poképark wii: pikachu's adventure,wii,2009.0,adventure,nintendo,0.55,0.17,0.42,0.06,1.2
1682,one piece: pirate warriors,ps3,2012.0,action,namco bandai games,0.01,0.24,0.86,0.09,1.2
1683,wwe 2k14,ps3,2013.0,sports,take-two interactive,0.49,0.49,0.0,0.21,1.19
1684,metal gear solid: portable ops,psp,2006.0,action,konami digital entertainment,0.38,0.35,0.38,0.09,1.19
1685,nuclear strike,ps,1997.0,simulation,electronic arts,0.66,0.45,0.0,0.08,1.19
1686,captain toad: treasure tracker,wiiu,2014.0,puzzle,nintendo,0.56,0.36,0.19,0.09,1.19
1687,wwe smackdown vs raw 2008,psp,2007.0,fighting,thq,0.45,0.47,0.0,0.28,1.19
1688,the simpsons: road rage,gba,2003.0,racing,thq,0.86,0.32,0.0,0.02,1.19
1689,pro evolution soccer 2008,wii,2008.0,sports,konami digital entertainment,0.09,0.84,0.11,0.15,1.19
1690,spongebob squarepants: revenge of the flying dutchman,gba,2002.0,platform,thq,0.92,0.23,0.0,0.04,1.19
1691,mario & sonic at the london 2012 olympic games,3ds,2012.0,sports,sega,0.18,0.64,0.27,0.1,1.19
1692,scarface: the world is yours,ps2,2006.0,action,vivendi games,0.99,0.04,0.0,0.16,1.19
1693,kobe bryant in nba courtside,n64,1998.0,sports,nintendo,1.02,0.13,0.04,0.01,1.19
1694,disney's chip 'n dale: rescue rangers,nes,1990.0,platform,capcom,0.68,0.14,0.35,0.02,1.19
1695,the dukes of hazzard: racing for home,ps,1999.0,racing,ubisoft,0.99,0.16,0.0,0.04,1.19
1696,hitman 2: silent assassin,xb,nan,action,eidos interactive,0.76,0.38,0.0,0.05,1.19
1697,fifa 14,xone,2013.0,sports,electronic arts,0.41,0.66,0.0,0.12,1.19
1698,spider-man: the movie,gc,2002.0,action,activision,0.86,0.27,0.01,0.04,1.19
1699,final fantasy i & ii: dawn of souls,gba,2004.0,role-playing,nintendo,0.64,0.24,0.29,0.02,1.19
1700,nba 2k17,ps4,2016.0,sports,take-two interactive,0.83,0.14,0.0,0.22,1.19
1701,pokemon super mystery dungeon,3ds,2015.0,role-playing,nintendo,0.46,0.31,0.33,0.08,1.19
1702,just dance 4,x360,2012.0,misc,ubisoft,0.9,0.2,0.0,0.08,1.19
1703,metal gear solid vr missions,ps,1999.0,adventure,konami digital entertainment,0.66,0.45,0.0,0.08,1.18
1704,pole position,2600,1982.0,racing,atari,1.1,0.07,0.0,0.01,1.18
1705,resident evil: operation raccoon city,ps3,2012.0,action,capcom,0.48,0.25,0.36,0.1,1.18
1706,lego indiana jones: the original adventures,psp,2008.0,action,lucasarts,0.4,0.49,0.0,0.29,1.18
1707,pro yakyuu family stadium '88,nes,1988.0,sports,namco bandai games,0.1,0.0,1.08,0.0,1.18
1708,shenmue,dc,1999.0,adventure,sega,0.52,0.24,0.38,0.04,1.18
1709,mario tennis,gb,2000.0,sports,nintendo,0.5,0.18,0.44,0.06,1.18
1710,tony hawk's pro skater 2,gba,2001.0,sports,activision,0.85,0.31,0.0,0.02,1.18
1711,wwe '12,ps3,2011.0,fighting,thq,0.53,0.46,0.02,0.17,1.18
1712,wwe smackdown vs. raw 2010,ps3,2009.0,fighting,thq,0.48,0.49,0.01,0.2,1.18
1713,plants vs. zombies,ds,2011.0,strategy,mastertronic,0.95,0.15,0.0,0.08,1.18
1714,sonic the hedgehog,ps3,2006.0,platform,sega,0.41,0.07,0.04,0.66,1.18
1715,super ghouls 'n ghosts,snes,1991.0,platform,capcom,0.5,0.14,0.52,0.02,1.18
1716,spore,pc,2008.0,strategy,electronic arts,0.03,1.06,0.0,0.09,1.17
1717,soviet strike,ps,1996.0,simulation,electronic arts,0.65,0.44,0.0,0.08,1.17
1718,your shape: fitness evolved 2012,x360,2011.0,sports,ubisoft,0.7,0.37,0.0,0.1,1.17
1719,army of two,ps3,2008.0,shooter,electronic arts,0.74,0.26,0.02,0.15,1.17
1720,gun,ps2,2005.0,shooter,activision,0.98,0.04,0.0,0.16,1.17
1721,ty the tasmanian tiger,ps2,2002.0,platform,electronic arts,0.57,0.45,0.0,0.15,1.17
1722,wario land: shake it!,wii,2008.0,platform,nintendo,0.6,0.31,0.15,0.11,1.17
1723,sonic rush adventure,ds,2007.0,platform,sega,0.54,0.49,0.01,0.12,1.17
1724,medal of honor: warfighter,x360,2012.0,action,electronic arts,0.58,0.47,0.01,0.1,1.17
1725,mega man 3,nes,1990.0,platform,capcom,0.68,0.1,0.39,0.0,1.17
1726,ratchet & clank (2016),ps4,2016.0,platform,sony computer entertainment,0.32,0.64,0.04,0.18,1.17
1727,mission: impossible,n64,1997.0,action,ocean,0.74,0.38,0.02,0.03,1.17
1728,romancing saga 2,snes,1993.0,role-playing,squaresoft,0.0,0.0,1.17,0.0,1.17
1729,cabela's dangerous hunts,ps2,2003.0,sports,zoo digital publishing,0.57,0.45,0.0,0.15,1.17
1730,cool boarders 4,ps,1998.0,sports,989 studios,0.65,0.44,0.0,0.08,1.17
1731,rage racer,ps,1996.0,racing,sony computer entertainment,0.16,0.11,0.83,0.08,1.17
1732,medal of honor: rising sun,xb,2003.0,shooter,electronic arts,0.76,0.36,0.0,0.05,1.17
1733,football manager 2013,pc,2012.0,sports,sega,0.0,0.95,0.0,0.22,1.17
1734,destruction derby 2,ps,1996.0,racing,psygnosis,0.65,0.44,0.0,0.08,1.17
1735,mirror's edge,x360,2008.0,platform,electronic arts,0.51,0.51,0.01,0.13,1.17
1736,destiny: the taken king,xone,2015.0,shooter,activision,0.82,0.23,0.0,0.11,1.17
1737,mario vs. donkey kong,gba,2004.0,puzzle,nintendo,0.68,0.25,0.21,0.02,1.17
1738,007: quantum of solace,ps3,2008.0,action,activision,0.43,0.52,0.02,0.2,1.16
1739,ea sports active: more workouts,wii,2009.0,sports,electronic arts,0.78,0.28,0.0,0.1,1.16
1740,fallout: new vegas,pc,2010.0,role-playing,bethesda softworks,0.58,0.45,0.0,0.14,1.16
1741,need for speed: most wanted,psv,2012.0,racing,electronic arts,0.38,0.52,0.01,0.25,1.16
1742,final fantasy tactics: the war of the lions,psp,2007.0,role-playing,square enix,0.45,0.25,0.3,0.16,1.16
1743,midnight club 3: dub edition remix,ps2,2006.0,racing,take-two interactive,0.97,0.04,0.0,0.16,1.16
1744,tom clancy's ghost recon: jungle storm,ps2,2004.0,shooter,ubisoft,0.57,0.44,0.0,0.15,1.16
1745,singstar,ps3,2007.0,misc,sony computer entertainment,0.45,0.58,0.0,0.13,1.16
1746,bushido blade,ps,1997.0,fighting,sony computer entertainment,0.39,0.27,0.43,0.08,1.16
1747,lego star wars iii: the clone wars,ds,2011.0,action,lucasarts,0.66,0.39,0.0,0.11,1.16
1748,nascar thunder 2002,ps2,2001.0,racing,electronic arts,0.57,0.44,0.0,0.15,1.16
1749,jet force gemini,n64,1999.0,shooter,nintendo,0.78,0.28,0.07,0.02,1.16
1750,mega man x,snes,1993.0,platform,capcom,0.57,0.08,0.5,0.01,1.16
1751,yu-gi-oh! the sacred cards (american and others sales),gba,2002.0,role-playing,konami digital entertainment,0.84,0.27,0.0,0.05,1.16
1752,sega rally championship,sat,1995.0,racing,sega,0.21,0.16,0.77,0.02,1.16
1753,test drive: off road,ps,1997.0,racing,eidos interactive,0.65,0.44,0.0,0.08,1.16
1754,medal of honor heroes 2,psp,2007.0,shooter,electronic arts,0.5,0.39,0.02,0.25,1.16
1755,sniper: ghost warrior,x360,2010.0,shooter,city interactive,0.54,0.51,0.0,0.12,1.16
1756,rocksmith,ps3,2011.0,misc,ubisoft,0.52,0.38,0.09,0.17,1.16
1757,lego star wars: the video game,xb,2005.0,action,eidos interactive,0.83,0.28,0.0,0.05,1.16
1758,fifa soccer 10,psp,2009.0,sports,electronic arts,0.15,0.68,0.01,0.32,1.16
1759,plants vs. zombies: garden warfare,x360,2014.0,shooter,electronic arts,0.51,0.54,0.0,0.1,1.16
1760,worldwide soccer manager 2009,pc,2008.0,simulation,sega,0.0,1.14,0.0,0.01,1.15
1761,omerta: city of gangsters,ps3,2011.0,simulation,konami digital entertainment,0.52,0.46,0.0,0.17,1.15
1762,gauntlet: dark legacy,ps2,2001.0,action,midway games,0.56,0.44,0.0,0.15,1.15
1763,ninja gaiden sigma,ps3,2007.0,action,eidos interactive,0.57,0.33,0.09,0.16,1.15
1764,bad boys: miami takedown,ps2,2004.0,shooter,empire interactive,0.56,0.44,0.0,0.15,1.15
1765,kaboom!,2600,1980.0,misc,activision,1.07,0.07,0.0,0.01,1.15
1766,red dead redemption: undead nightmare,ps3,2010.0,action,take-two interactive,0.44,0.46,0.06,0.18,1.15
1767,sonic and the black knight,wii,2009.0,platform,sega,0.69,0.35,0.01,0.11,1.15
1768,call of duty 4: modern warfare,pc,2007.0,shooter,activision,0.0,1.12,0.0,0.03,1.15
1769,qix,gb,1990.0,puzzle,nintendo,0.51,0.2,0.41,0.03,1.15
1770,derby stallion iii,snes,1995.0,sports,ascii entertainment,0.0,0.0,1.15,0.0,1.15
1771,doraemon,nes,1986.0,action,hudson soft,0.0,0.0,1.15,0.0,1.15
1772,high school musical 2: work this out!,ds,2008.0,misc,disney interactive studios,0.5,0.52,0.0,0.13,1.15
1773,ratchet & clank: all 4 one,ps3,2011.0,platform,sony computer entertainment,0.75,0.22,0.05,0.12,1.15
1774,donkey konga,gc,2003.0,misc,nintendo,0.5,0.16,0.46,0.03,1.15
1775,fight night champion,ps3,2011.0,fighting,electronic arts,0.45,0.51,0.0,0.19,1.15
1776,dragon quest i & ii,snes,1993.0,role-playing,enix corporation,0.0,0.0,1.15,0.0,1.15
1777,tak and the power of juju,ps2,2003.0,platform,thq,0.56,0.44,0.0,0.15,1.15
1778,asteroids,ps,1998.0,shooter,success,0.64,0.43,0.0,0.07,1.15
1779,puyo puyo sun ketteiban,ps,1997.0,puzzle,compile,0.0,0.0,1.07,0.07,1.15
1780,pokemon rumble blast,3ds,2011.0,action,nintendo,0.47,0.26,0.35,0.07,1.14
1781,action bass,ps,2000.0,action,take-two interactive,0.64,0.43,0.0,0.07,1.14
1782,tenchu: wrath of heaven,ps2,2003.0,action,activision,0.44,0.34,0.25,0.11,1.14
1783,shadow of the colossus,ps2,2005.0,action,sony computer entertainment,0.78,0.03,0.2,0.13,1.14
1784,brave fencer musashi,ps,1998.0,role-playing,squaresoft,0.25,0.17,0.65,0.07,1.14
